url,source,entity_type,entity_id,status_code,final_url,redirect_hops,canonical,robots_meta,x_robots_tag,in_sitemap,internal_links_to_url,index_intent,notes
https://www.poshaktaranom.ir/products/tetoron-basic-shirt-sahar,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/tetoron-basic-shirt-sahar,0,https://www.poshaktaranom.ir/products/tetoron-basic-shirt-sahar,"index, follow",,yes,16,INDEX,
https://www.poshaktaranom.ir/products/wool-coat-katayoun,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/wool-coat-katayoun,0,https://www.poshaktaranom.ir/products/wool-coat-katayoun,"index, follow",,yes,3,INDEX,
https://www.poshaktaranom.ir/products/footer-coat-dalia,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/footer-coat-dalia,0,https://www.poshaktaranom.ir/products/footer-coat-dalia,"index, follow",,yes,3,INDEX,
https://www.poshaktaranom.ir/products/waterproof-memory-raincoat-110,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/waterproof-memory-raincoat-110,0,https://www.poshaktaranom.ir/products/waterproof-memory-raincoat-110,"index, follow",,yes,3,INDEX,
https://www.poshaktaranom.ir/products/maserati-pants-mahin,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/maserati-pants-mahin,0,https://www.poshaktaranom.ir/products/maserati-pants-mahin,"index, follow",,yes,3,INDEX,
https://www.poshaktaranom.ir/products/crushed-footer-coat-tiara,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/crushed-footer-coat-tiara,0,https://www.poshaktaranom.ir/products/crushed-footer-coat-tiara,"index, follow",,yes,3,INDEX,
https://www.poshaktaranom.ir/products/lined-memory-raincoat-80,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/lined-memory-raincoat-80,0,https://www.poshaktaranom.ir/products/lined-memory-raincoat-80,"index, follow",,yes,3,INDEX,
https://www.poshaktaranom.ir/products/solid-memory-raincoat-80,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/solid-memory-raincoat-80,0,https://www.poshaktaranom.ir/products/solid-memory-raincoat-80,"index, follow",,yes,3,INDEX,
https://www.poshaktaranom.ir/products/coats00007,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/coats00007,0,https://www.poshaktaranom.ir/products/coats00007,"index, follow",,yes,4,INDEX,
https://www.poshaktaranom.ir/products/lyocell-baggy-pants-jacqueline,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/lyocell-baggy-pants-jacqueline,0,https://www.poshaktaranom.ir/products/lyocell-baggy-pants-jacqueline,"index, follow",,yes,3,INDEX,
https://www.poshaktaranom.ir/products/cotton-overcoat-laleh,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/cotton-overcoat-laleh,0,https://www.poshaktaranom.ir/products/cotton-overcoat-laleh,"index, follow",,yes,3,INDEX,
https://www.poshaktaranom.ir/products/cotton-twill-jacket-kian,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/cotton-twill-jacket-kian,0,https://www.poshaktaranom.ir/products/cotton-twill-jacket-kian,"index, follow",,yes,3,INDEX,
https://www.poshaktaranom.ir/products/cotton-twill-jacket-alice,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/cotton-twill-jacket-alice,0,https://www.poshaktaranom.ir/products/cotton-twill-jacket-alice,"index, follow",,yes,3,INDEX,
https://www.poshaktaranom.ir/products/cotton-twill-manteau-mahan,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/cotton-twill-manteau-mahan,0,https://www.poshaktaranom.ir/products/cotton-twill-manteau-mahan,"index, follow",,yes,3,INDEX,
https://www.poshaktaranom.ir/products/cotton-twill-bomber-jacket-ghazal,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/cotton-twill-bomber-jacket-ghazal,0,https://www.poshaktaranom.ir/products/cotton-twill-bomber-jacket-ghazal,"index, follow",,yes,3,INDEX,
https://www.poshaktaranom.ir/products/cotton-twill-sport-jacket-dorsa,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/cotton-twill-sport-jacket-dorsa,0,https://www.poshaktaranom.ir/products/cotton-twill-sport-jacket-dorsa,"index, follow",,yes,3,INDEX,
